fname,bbox,class_id,class_name
00047.jpg,"{'x1': np.uint8(84), 'y1': np.uint8(248), 'x2': np.uint16(1102), 'y2': np.uint16(899)}",194,Volvo 240 Sedan 1993
00048.jpg,"{'x1': np.uint8(142), 'y1': np.uint8(69), 'x2': np.uint16(753), 'y2': np.uint16(451)}",177,Rolls-Royce Phantom Sedan 2012
00049.jpg,"{'x1': np.uint8(166), 'y1': np.uint16(543), 'x2': np.uint16(887), 'y2': np.uint16(903)}",173,Porsche Panamera Sedan 2012
00050.jpg,"{'x1': np.uint8(20), 'y1': np.uint8(96), 'x2': np.uint16(564), 'y2': np.uint16(341)}",42,Bentley Continental GT Coupe 2012
00051.jpg,"{'x1': np.uint8(41), 'y1': np.uint8(181), 'x2': np.uint16(607), 'y2': np.uint16(465)}",91,Dodge Dakota Club Cab 2007
00052.jpg,"{'x1': np.uint8(39), 'y1': np.uint8(29), 'x2': np.uint16(774), 'y2': np.uint16(395)}",148,Jeep Grand Cherokee SUV 2012
00053.jpg,"{'x1': np.uint8(161), 'y1': np.uint8(191), 'x2': np.uint16(425), 'y2': np.uint16(307)}",15,Audi R8 Coupe 2012
00054.jpg,"{'x1': np.uint8(58), 'y1': np.uint16(562), 'x2': np.uint16(1528), 'y2': np.uint16(1081)}",97,Dodge Charger SRT-8 2009
00055.jpg,"{'x1': np.uint8(80), 'y1': np.uint8(120), 'x2': np.uint16(582), 'y2': np.uint16(391)}",42,Bentley Continental GT Coupe 2012
00056.jpg,"{'x1': np.uint8(32), 'y1': np.uint8(48), 'x2': np.uint16(472), 'y2': np.uint16(267)}",53,Cadillac Escalade EXT Crew Cab 2007
00057.jpg,"{'x1': np.uint16(260), 'y1': np.uint8(138), 'x2': np.uint16(972), 'y2': np.uint16(439)}",44,Bentley Continental Flying Spur Sedan 2007
00058.jpg,"{'x1': np.uint8(11), 'y1': np.uint8(35), 'x2': np.uint16(256), 'y2': np.uint8(173)}",65,Chevrolet Avalanche Crew Cab 2012
00059.jpg,"{'x1': np.uint8(68), 'y1': np.uint8(91), 'x2': np.uint16(607), 'y2': np.uint16(354)}",90,Dodge Dakota Crew Cab 2010
00060.jpg,"{'x1': np.uint8(129), 'y1': np.uint8(120), 'x2': np.uint16(345), 'y2': np.uint16(269)}",124,HUMMER H3T Crew Cab 2010
00061.jpg,"{'x1': np.uint8(11), 'y1': np.uint8(104), 'x2': np.uint16(1011), 'y2': np.uint16(742)}",114,Ford F-150 Regular Cab 2007
00062.jpg,"{'x1': np.uint8(19), 'y1': np.uint8(21), 'x2': np.uint16(425), 'y2': np.uint16(265)}",190,Volkswagen Golf Hatchback 2012
00063.jpg,"{'x1': np.uint8(175), 'y1': np.uint16(330), 'x2': np.uint16(928), 'y2': np.uint16(647)}",101,Ferrari FF Coupe 2012
00064.jpg,"{'x1': np.uint8(97), 'y1': np.uint8(39), 'x2': np.uint16(925), 'y2': np.uint16(700)}",187,Toyota Camry Sedan 2012
00065.jpg,"{'x1': np.uint8(63), 'y1': np.uint8(175), 'x2': np.uint16(417), 'y2': np.uint16(320)}",8,Aston Martin V8 Vantage Convertible 2012
00066.jpg,"{'x1': np.uint8(30), 'y1': np.uint8(39), 'x2': np.uint8(221), 'y2': np.uint8(125)}",17,Audi 100 Sedan 1994
00067.jpg,"{'x1': np.uint8(129), 'y1': np.uint8(89), 'x2': np.uint16(594), 'y2': np.uint16(432)}",111,Ford Ranger SuperCab 2011
00068.jpg,"{'x1': np.uint8(32), 'y1': np.uint8(43), 'x2': np.uint16(598), 'y2': np.uint16(350)}",122,GMC Canyon Extended Cab 2012
00069.jpg,"{'x1': np.uint8(142), 'y1': np.uint8(124), 'x2': np.uint16(675), 'y2': np.uint16(445)}",5,Acura TSX Sedan 2012
00070.jpg,"{'x1': np.uint8(220), 'y1': np.uint16(313), 'x2': np.uint16(1054), 'y2': np.uint16(976)}",29,BMW 3 Series Sedan 2012
00071.jpg,"{'x1': np.uint8(8), 'y1': np.uint8(12), 'x2': np.uint16(639), 'y2': np.uint16(299)}",126,Honda Odyssey Minivan 2012
00072.jpg,"{'x1': np.uint8(92), 'y1': np.uint16(271), 'x2': np.uint16(1178), 'y2': np.uint16(749)}",94,Dodge Durango SUV 2012
00073.jpg,"{'x1': np.uint8(15), 'y1': np.uint8(12), 'x2': np.uint16(314), 'y2': np.uint8(230)}",106,Ford F-450 Super Duty Crew Cab 2012
00074.jpg,"{'x1': np.uint8(14), 'y1': np.uint8(12), 'x2': np.uint16(309), 'y2': np.uint8(223)}",106,Ford F-450 Super Duty Crew Cab 2012
00075.jpg,"{'x1': np.uint8(45), 'y1': np.uint8(74), 'x2': np.uint16(522), 'y2': np.uint8(253)}",188,Toyota Corolla Sedan 2012
00076.jpg,"{'x1': np.uint8(12), 'y1': np.uint8(27), 'x2': np.uint16(284), 'y2': np.uint8(166)}",59,Chevrolet Camaro Convertible 2012
00077.jpg,"{'x1': np.uint8(25), 'y1': np.uint8(25), 'x2': np.uint16(3502), 'y2': np.uint16(2017)}",110,Ford Edge SUV 2012
00078.jpg,"{'x1': np.uint8(36), 'y1': np.uint8(88), 'x2': np.uint16(611), 'y2': np.uint16(417)}",43,Bentley Continental GT Coupe 2007
00079.jpg,"{'x1': np.uint8(165), 'y1': np.uint8(126), 'x2': np.uint16(749), 'y2': np.uint16(425)}",133,Hyundai Veracruz SUV 2012
00080.jpg,"{'x1': np.uint8(20), 'y1': np.uint8(21), 'x2': np.uint16(292), 'y2': np.uint8(217)}",111,Ford Ranger SuperCab 2011
00081.jpg,"{'x1': np.uint8(10), 'y1': np.uint8(55), 'x2': np.uint16(540), 'y2': np.uint16(271)}",8,Aston Martin V8 Vantage Convertible 2012
00082.jpg,"{'x1': np.uint8(63), 'y1': np.uint8(113), 'x2': np.uint16(597), 'y2': np.uint16(413)}",192,Volkswagen Beetle Hatchback 2012
00083.jpg,"{'x1': np.uint8(55), 'y1': np.uint8(48), 'x2': np.uint16(294), 'y2': np.uint8(205)}",18,Audi 100 Wagon 1994
00084.jpg,"{'x1': np.uint8(27), 'y1': np.uint8(67), 'x2': np.uint16(620), 'y2': np.uint16(474)}",116,Ford E-Series Wagon Van 2012
00085.jpg,"{'x1': np.uint8(15), 'y1': np.uint8(80), 'x2': np.uint16(629), 'y2': np.uint16(402)}",49,Buick Verano Sedan 2012
00086.jpg,"{'x1': np.uint8(119), 'y1': np.uint16(300), 'x2': np.uint16(1416), 'y2': np.uint16(871)}",145,Jeep Patriot SUV 2012
00087.jpg,"{'x1': np.uint8(17), 'y1': np.uint8(36), 'x2': np.uint16(455), 'y2': np.uint8(215)}",49,Buick Verano Sedan 2012
00088.jpg,"{'x1': np.uint8(171), 'y1': np.uint8(176), 'x2': np.uint16(2373), 'y2': np.uint16(1751)}",170,Nissan Juke Hatchback 2012
00089.jpg,"{'x1': np.uint8(49), 'y1': np.uint8(195), 'x2': np.uint16(1003), 'y2': np.uint16(617)}",20,Audi S6 Sedan 2011
00090.jpg,"{'x1': np.uint8(5), 'y1': np.uint8(43), 'x2': np.uint16(296), 'y2': np.uint8(211)}",114,Ford F-150 Regular Cab 2007
00091.jpg,"{'x1': np.uint8(49), 'y1': np.uint8(57), 'x2': np.uint16(494), 'y2': np.uint16(419)}",165,Mercedes-Benz S-Class Sedan 2012
00092.jpg,"{'x1': np.uint8(101), 'y1': np.uint8(84), 'x2': np.uint16(492), 'y2': np.uint16(272)}",138,Hyundai Sonata Sedan 2012
00093.jpg,"{'x1': np.uint8(23), 'y1': np.uint8(53), 'x2': np.uint16(258), 'y2': np.uint8(144)}",175,Rolls-Royce Phantom Drophead Coupe Convertible 2012
00094.jpg,"{'x1': np.uint8(19), 'y1': np.uint8(60), 'x2': np.uint16(783), 'y2': np.uint16(440)}",112,Ford GT Coupe 2006
00095.jpg,"{'x1': np.uint8(110), 'y1': np.uint8(171), 'x2': np.uint16(1213), 'y2': np.uint16(648)}",122,GMC Canyon Extended Cab 2012
00096.jpg,"{'x1': np.uint8(39), 'y1': np.uint8(67), 'x2': np.uint16(346), 'y2': np.uint8(206)}",104,Ferrari 458 Italia Coupe 2012
00097.jpg,"{'x1': np.uint8(3), 'y1': np.uint8(7), 'x2': np.uint8(76), 'y2': np.uint8(50)}",57,Chevrolet Corvette Ron Fellows Edition Z06 2007
00098.jpg,"{'x1': np.uint8(65), 'y1': np.uint8(37), 'x2': np.uint16(578), 'y2': np.uint16(360)}",51,Cadillac CTS-V Sedan 2012
00099.jpg,"{'x1': np.uint8(27), 'y1': np.uint8(60), 'x2': np.uint16(486), 'y2': np.uint16(364)}",37,BMW X3 SUV 2012
00100.jpg,"{'x1': np.uint8(22), 'y1': np.uint8(180), 'x2': np.uint16(454), 'y2': np.uint16(355)}",71,Chevrolet Express Van 2007
00101.jpg,"{'x1': np.uint8(70), 'y1': np.uint8(39), 'x2': np.uint16(940), 'y2': np.uint16(742)}",193,Volvo C30 Hatchback 2012
00102.jpg,"{'x1': np.uint8(99), 'y1': np.uint8(130), 'x2': np.uint16(396), 'y2': np.uint8(222)}",105,Fisker Karma Sedan 2012
00103.jpg,"{'x1': np.uint8(85), 'y1': np.uint8(107), 'x2': np.uint16(609), 'y2': np.uint16(381)}",61,Chevrolet Impala Sedan 2007
00104.jpg,"{'x1': np.uint8(1), 'y1': np.uint8(76), 'x2': np.uint16(480), 'y2': np.uint16(315)}",74,Chevrolet Silverado 1500 Extended Cab 2012
00105.jpg,"{'x1': np.uint8(57), 'y1': np.uint16(266), 'x2': np.uint16(967), 'y2': np.uint16(623)}",133,Hyundai Veracruz SUV 2012
00106.jpg,"{'x1': np.uint8(69), 'y1': np.uint8(75), 'x2': np.uint8(236), 'y2': np.uint8(161)}",162,Mercedes-Benz C-Class Sedan 2012
00107.jpg,"{'x1': np.uint8(24), 'y1': np.uint8(17), 'x2': np.uint8(249), 'y2': np.uint8(163)}",131,Hyundai Santa Fe SUV 2012
00108.jpg,"{'x1': np.uint8(7), 'y1': np.uint8(27), 'x2': np.uint8(212), 'y2': np.uint8(147)}",88,Dodge Sprinter Cargo Van 2009
00109.jpg,"{'x1': np.uint8(18), 'y1': np.uint8(14), 'x2': np.uint8(248), 'y2': np.uint8(168)}",121,GMC Acadia SUV 2012
00110.jpg,"{'x1': np.uint8(19), 'y1': np.uint8(2), 'x2': np.uint16(591), 'y2': np.uint16(387)}",180,Spyker C8 Coupe 2009
00111.jpg,"{'x1': np.uint8(52), 'y1': np.uint8(6), 'x2': np.uint16(759), 'y2': np.uint16(513)}",180,Spyker C8 Coupe 2009
00112.jpg,"{'x1': np.uint8(231), 'y1': np.uint8(103), 'x2': np.uint16(430), 'y2': np.uint8(226)}",137,Hyundai Genesis Sedan 2012
00113.jpg,"{'x1': np.uint8(91), 'y1': np.uint8(148), 'x2': np.uint16(700), 'y2': np.uint16(582)}",133,Hyundai Veracruz SUV 2012
00114.jpg,"{'x1': np.uint8(19), 'y1': np.uint8(72), 'x2': np.uint16(624), 'y2': np.uint16(397)}",71,Chevrolet Express Van 2007
00115.jpg,"{'x1': np.uint8(26), 'y1': np.uint8(90), 'x2': np.uint16(376), 'y2': np.uint8(243)}",83,Dodge Caliber Wagon 2012
00116.jpg,"{'x1': np.uint8(132), 'y1': np.uint8(120), 'x2': np.uint16(667), 'y2': np.uint16(401)}",110,Ford Edge SUV 2012
00117.jpg,"{'x1': np.uint8(84), 'y1': np.uint8(44), 'x2': np.uint16(663), 'y2': np.uint16(342)}",42,Bentley Continental GT Coupe 2012
00118.jpg,"{'x1': np.uint8(87), 'y1': np.uint8(235), 'x2': np.uint16(591), 'y2': np.uint16(412)}",177,Rolls-Royce Phantom Sedan 2012
00119.jpg,"{'x1': np.uint8(173), 'y1': np.uint16(370), 'x2': np.uint16(1207), 'y2': np.uint16(960)}",147,Jeep Liberty SUV 2012
00120.jpg,"{'x1': np.uint8(3), 'y1': np.uint8(19), 'x2': np.uint8(195), 'y2': np.uint8(114)}",161,Mercedes-Benz 300-Class Convertible 1993
00121.jpg,"{'x1': np.uint8(49), 'y1': np.uint8(143), 'x2': np.uint16(487), 'y2': np.uint16(455)}",109,Ford Expedition EL SUV 2009
00122.jpg,"{'x1': np.uint8(72), 'y1': np.uint8(67), 'x2': np.uint8(233), 'y2': np.uint8(176)}",28,BMW 1 Series Coupe 2012
00123.jpg,"{'x1': np.uint8(151), 'y1': np.uint16(568), 'x2': np.uint16(1954), 'y2': np.uint16(1271)}",144,Jaguar XK XKR 2012
00124.jpg,"{'x1': np.uint8(14), 'y1': np.uint8(88), 'x2': np.uint16(271), 'y2': np.uint8(178)}",53,Cadillac Escalade EXT Crew Cab 2007
00125.jpg,"{'x1': np.uint8(135), 'y1': np.uint16(761), 'x2': np.uint16(1894), 'y2': np.uint16(1353)}",29,BMW 3 Series Sedan 2012
00126.jpg,"{'x1': np.uint8(44), 'y1': np.uint8(123), 'x2': np.uint16(778), 'y2': np.uint16(487)}",66,Chevrolet Cobalt SS 2010
00127.jpg,"{'x1': np.uint8(69), 'y1': np.uint8(103), 'x2': np.uint16(537), 'y2': np.uint16(322)}",79,Chrysler 300 SRT-8 2010
00128.jpg,"{'x1': np.uint8(86), 'y1': np.uint8(78), 'x2': np.uint16(355), 'y2': np.uint16(284)}",13,Audi A5 Coupe 2012
00129.jpg,"{'x1': np.uint8(50), 'y1': np.uint8(80), 'x2': np.uint16(592), 'y2': np.uint16(273)}",136,Hyundai Accent Sedan 2012
00130.jpg,"{'x1': np.uint8(95), 'y1': np.uint8(161), 'x2': np.uint16(543), 'y2': np.uint16(368)}",143,Isuzu Ascender SUV 2008
00131.jpg,"{'x1': np.uint16(275), 'y1': np.uint8(195), 'x2': np.uint16(863), 'y2': np.uint16(474)}",171,Nissan 240SX Coupe 1998
00132.jpg,"{'x1': np.uint8(99), 'y1': np.uint8(78), 'x2': np.uint16(557), 'y2': np.uint16(389)}",89,Dodge Journey SUV 2012
00133.jpg,"{'x1': np.uint8(11), 'y1': np.uint8(126), 'x2': np.uint16(426), 'y2': np.uint16(360)}",135,Hyundai Elantra Sedan 2007
00134.jpg,"{'x1': np.uint8(1), 'y1': np.uint8(2), 'x2': np.uint16(267), 'y2': np.uint8(185)}",161,Mercedes-Benz 300-Class Convertible 1993
00135.jpg,"{'x1': np.uint8(19), 'y1': np.uint16(735), 'x2': np.uint16(2669), 'y2': np.uint16(2192)}",58,Chevrolet Traverse SUV 2012
00136.jpg,"{'x1': np.uint8(21), 'y1': np.uint8(35), 'x2': np.uint16(279), 'y2': np.uint8(195)}",122,GMC Canyon Extended Cab 2012
00137.jpg,"{'x1': np.uint8(45), 'y1': np.uint8(99), 'x2': np.uint16(593), 'y2': np.uint16(403)}",178,Scion xD Hatchback 2012
00138.jpg,"{'x1': np.uint8(130), 'y1': np.uint16(282), 'x2': np.uint16(1425), 'y2': np.uint16(900)}",56,Chevrolet Corvette ZR1 2012
00139.jpg,"{'x1': np.uint8(72), 'y1': np.uint8(215), 'x2': np.uint16(628), 'y2': np.uint16(481)}",184,Suzuki SX4 Sedan 2012
00140.jpg,"{'x1': np.uint8(62), 'y1': np.uint8(95), 'x2': np.uint16(633), 'y2': np.uint16(434)}",191,Volkswagen Golf Hatchback 1991
00141.jpg,"{'x1': np.uint8(13), 'y1': np.uint8(106), 'x2': np.uint16(476), 'y2': np.uint16(260)}",40,Bentley Arnage Sedan 2009
00142.jpg,"{'x1': np.uint8(78), 'y1': np.uint16(300), 'x2': np.uint16(952), 'y2': np.uint16(633)}",60,Chevrolet HHR SS 2010
00143.jpg,"{'x1': np.uint8(72), 'y1': np.uint8(51), 'x2': np.uint16(566), 'y2': np.uint16(412)}",155,Land Rover LR2 SUV 2012
00144.jpg,"{'x1': np.uint8(66), 'y1': np.uint8(59), 'x2': np.uint16(283), 'y2': np.uint8(202)}",71,Chevrolet Express Van 2007
00145.jpg,"{'x1': np.uint8(135), 'y1': np.uint8(36), 'x2': np.uint16(1181), 'y2': np.uint16(885)}",140,Hyundai Azera Sedan 2012
00146.jpg,"{'x1': np.uint8(2), 'y1': np.uint8(5), 'x2': np.uint16(298), 'y2': np.uint8(162)}",42,Bentley Continental GT Coupe 2012
00147.jpg,"{'x1': np.uint8(8), 'y1': np.uint8(12), 'x2': np.uint16(770), 'y2': np.uint16(309)}",76,Chrysler Aspen SUV 2009
00148.jpg,"{'x1': np.uint8(24), 'y1': np.uint8(78), 'x2': np.uint16(608), 'y2': np.uint16(379)}",187,Toyota Camry Sedan 2012
00149.jpg,"{'x1': np.uint8(34), 'y1': np.uint8(1), 'x2': np.uint8(242), 'y2': np.uint8(179)}",86,Dodge Ram Pickup 3500 Crew Cab 2010
00150.jpg,"{'x1': np.uint8(11), 'y1': np.uint8(208), 'x2': np.uint16(596), 'y2': np.uint16(386)}",8,Aston Martin V8 Vantage Convertible 2012
00151.jpg,"{'x1': np.uint8(8), 'y1': np.uint8(37), 'x2': np.uint16(294), 'y2': np.uint8(150)}",5,Acura TSX Sedan 2012
00152.jpg,"{'x1': np.uint8(23), 'y1': np.uint8(66), 'x2': np.uint16(499), 'y2': np.uint16(311)}",47,Buick Regal GS 2012
00153.jpg,"{'x1': np.uint8(6), 'y1': np.uint8(138), 'x2': np.uint16(627), 'y2': np.uint16(361)}",30,BMW 3 Series Wagon 2012
00154.jpg,"{'x1': np.uint8(17), 'y1': np.uint8(105), 'x2': np.uint16(385), 'y2': np.uint8(243)}",18,Audi 100 Wagon 1994
00155.jpg,"{'x1': np.uint8(76), 'y1': np.uint8(4), 'x2': np.uint16(1585), 'y2': np.uint16(1120)}",149,Jeep Compass SUV 2012
00156.jpg,"{'x1': np.uint8(22), 'y1': np.uint8(21), 'x2': np.uint8(211), 'y2': np.uint8(139)}",174,Ram C/V Cargo Van Minivan 2012
00157.jpg,"{'x1': np.uint8(32), 'y1': np.uint8(130), 'x2': np.uint16(973), 'y2': np.uint16(661)}",138,Hyundai Sonata Sedan 2012
00158.jpg,"{'x1': np.uint8(75), 'y1': np.uint8(236), 'x2': np.uint16(1196), 'y2': np.uint16(846)}",179,Spyker C8 Convertible 2009
00159.jpg,"{'x1': np.uint8(37), 'y1': np.uint8(139), 'x2': np.uint16(988), 'y2': np.uint16(694)}",24,Audi S4 Sedan 2007
00160.jpg,"{'x1': np.uint8(114), 'y1': np.uint8(46), 'x2': np.uint16(546), 'y2': np.uint16(287)}",42,Bentley Continental GT Coupe 2012
00161.jpg,"{'x1': np.uint8(12), 'y1': np.uint8(83), 'x2': np.uint16(629), 'y2': np.uint16(354)}",73,Chevrolet Malibu Sedan 2007
00162.jpg,"{'x1': np.uint8(38), 'y1': np.uint8(66), 'x2': np.uint16(548), 'y2': np.uint16(385)}",176,Rolls-Royce Ghost Sedan 2012
00163.jpg,"{'x1': np.uint8(46), 'y1': np.uint8(84), 'x2': np.uint16(661), 'y2': np.uint16(428)}",1,AM General Hummer SUV 2000
00164.jpg,"{'x1': np.uint8(13), 'y1': np.uint8(29), 'x2': np.uint8(239), 'y2': np.uint8(174)}",37,BMW X3 SUV 2012
00165.jpg,"{'x1': np.uint8(27), 'y1': np.uint8(65), 'x2': np.uint16(490), 'y2': np.uint8(220)}",36,BMW M6 Convertible 2010
00166.jpg,"{'x1': np.uint8(4), 'y1': np.uint8(69), 'x2': np.uint16(402), 'y2': np.uint8(245)}",108,Ford Freestar Minivan 2007
00167.jpg,"{'x1': np.uint8(19), 'y1': np.uint8(27), 'x2': np.uint16(429), 'y2': np.uint16(258)}",41,Bentley Mulsanne Sedan 2011
00168.jpg,"{'x1': np.uint8(110), 'y1': np.uint8(96), 'x2': np.uint16(565), 'y2': np.uint16(389)}",40,Bentley Arnage Sedan 2009
00169.jpg,"{'x1': np.uint8(2), 'y1': np.uint8(22), 'x2': np.uint8(140), 'y2': np.uint8(81)}",119,GMC Savana Van 2012
00170.jpg,"{'x1': np.uint8(48), 'y1': np.uint8(71), 'x2': np.uint16(615), 'y2': np.uint16(453)}",119,GMC Savana Van 2012
00171.jpg,"{'x1': np.uint8(41), 'y1': np.uint8(42), 'x2': np.uint16(262), 'y2': np.uint8(170)}",19,Audi TT Hatchback 2011
00172.jpg,"{'x1': np.uint8(6), 'y1': np.uint8(108), 'x2': np.uint16(493), 'y2': np.uint16(267)}",163,Mercedes-Benz SL-Class Coupe 2009
